City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,15.26,89,100,1.34,US,1695491992
1,belyy yar,53.6039,91.3903,7.94,81,0,0.0,RU,1695491993
2,grytviken,-54.2811,-36.5092,-1.4,82,98,4.71,GS,1695491993
3,sungai penuh,-2.0833,101.3833,17.19,98,87,0.66,ID,1695491994
4,olonkinbyen,70.9221,-8.7187,1.99,66,100,4.57,SJ,1695491994
5,waitangi,-43.9535,-176.5597,13.23,96,100,2.68,NZ,1695491995
6,port-aux-francais,-49.35,70.2167,1.86,89,93,22.33,TF,1695491995
7,iqaluit,63.7506,-68.5145,-0.15,86,75,1.54,CA,1695491995
8,albany,42.6001,-73.9662,15.29,80,100,0.45,US,1695491728
9,touros,-5.1989,-35.4608,28.49,61,7,6.1,BR,1695491996
10,san pedro pochutla,15.7333,-96.4667,32.87,52,52,2.84,MX,1695491996
11,west island,-12.1568,96.8225,25.99,78,100,6.69,CC,1695491997
12,georgetown,5.4112,100.3354,26.96,92,40,1.54,MY,1695491997
13,mount pearl,47.5166,-52.7813,17.19,65,75,10.29,CA,1695491997
14,santa ana,33.7456,-117.8678,25.83,69,20,3.09,US,1695491921
15,klyuchi,52.2667,79.1667,7.37,64,93,3.82,RU,1695491998
16,invercargill,-46.4,168.35,3.9,89,98,0.89,NZ,1695491999
17,ghat,24.9647,10.1728,33.04,11,0,3.07,LY,1695491999
18,atafu village,-8.5421,-172.5159,27.58,82,93,6.92,TK,1695492000
19,pak chong,14.708,101.4161,23.63,88,31,1.51,TH,1695492001
20,puerto natales,-51.7236,-72.4875,7.47,65,89,4.55,CL,1695492012
21,arraial do cabo,-22.9661,-42.0278,25.98,73,0,5.14,BR,1695492017
22,whitehorse,60.7161,-135.0538,5.05,93,20,1.34,CA,1695492018
23,sanchursk,56.9413,47.2499,17.88,68,0,2.86,RU,1695492019
24,baro,8.6,6.4167,25.38,91,100,1.8,NG,1695492019
25,canton,23.1167,113.25,27.97,81,19,0.22,CN,1695491849
26,puerto ayora,-0.7393,-90.3518,27.98,88,88,2.68,EC,1695491874
27,bardai,11.65,7.2333,23.36,83,42,5.57,NG,1695492020
28,usinsk,65.9939,57.5281,11.66,95,95,5.64,RU,1695492021
29,hadibu,12.65,54.0333,27.27,77,32,5.15,YE,1695492022
30,bireun,5.203,96.7009,26.29,84,100,3.31,ID,1695492023
31,labrador city,52.9463,-66.9114,9.95,71,100,5.66,CA,1695492023
32,adamstown,-25.066,-130.1015,20.62,89,92,11.3,PN,1695492024
33,vadso,70.0744,29.7487,8.49,87,20,6.17,NO,1695492024
34,tarakan,3.3,117.6333,25.76,86,50,1.05,ID,1695492026
35,isafjordur,66.0755,-23.124,6.02,70,75,6.17,IS,1695492027
36,lompoc,34.6391,-120.4579,19.36,79,20,3.6,US,1695492028
37,edinburgh of the seven seas,-37.0676,-12.3116,14.5,89,100,18.78,SH,1695492030
38,ushuaia,-54.8,-68.3,3.81,87,100,11.83,AR,1695492031
39,mount gambier,-37.8333,140.7667,7.08,80,0,2.04,AU,1695492032
40,papatowai,-46.5619,169.4708,2.1,94,73,1.14,NZ,1695492033
41,utrik,11.2278,169.8474,28.21,76,82,9.23,MH,1695492034
42,dudinka,69.4058,86.1778,1.46,85,91,7.92,RU,1695492035
43,morehead city,34.7229,-76.726,21.1,87,100,9.26,US,1695492037
44,afaahiti,-17.75,-149.2833,20.93,99,100,11.44,PF,1695492040
45,chonchi,-42.6128,-73.8092,8.56,55,85,2.08,CL,1695492040
46,badger,64.8,-147.5333,3.17,92,100,0.0,US,1695492041
47,oranjemund,-28.55,16.4333,13.52,81,33,11.04,NA,1695491890
48,uren',57.4552,45.7852,15.41,71,0,2.55,RU,1695492042
49,hawaiian paradise park,19.5933,-154.9731,24.94,94,72,0.45,US,1695492043
50,leiyang,26.4024,112.8591,22.69,92,87,1.83,CN,1695492044
51,ilulissat,69.2167,-51.1,3.01,28,20,6.69,GL,1695492045
52,al kharijah,25.4514,30.5464,29.62,22,0,4.13,EG,1695492045
53,iskateley,67.6803,53.1512,14.16,92,74,7.55,RU,1695492045
54,yoloten,37.2989,62.3597,17.86,33,0,4.75,TM,1695491993
55,nuuk,64.1835,-51.7216,3.82,60,20,4.12,GL,1695492047
56,lebu,-37.6167,-73.65,10.18,68,0,7.27,CL,1695492047
57,kitimat,54.0524,-128.6534,10.94,99,100,0.89,CA,1695492048
58,ribeira grande,38.5167,-28.7,24.22,78,75,6.69,PT,1695492049
59,port lincoln,-34.7333,135.8667,12.89,48,0,3.76,AU,1695492050
60,blackmans bay,-43.0167,147.3167,6.96,93,24,1.5,AU,1695492054
